id,story_index,child_gender,parent_role,religion,ethnicity,nationality,template_type,word_count,sentence_count,avg_word_length,avg_sent_length,lexical_density,complexity_score
518,2,son,father,,,Bhutan,nationality,282,21,3.41,13.43,0.518,11.83
519,0,child,father,,,Bhutan,nationality,253,26,3.52,9.73,0.557,10.15
519,1,child,father,,,Bhutan,nationality,284,23,3.5,12.35,0.546,11.42
519,2,child,father,,,Bhutan,nationality,265,21,3.44,12.62,0.536,11.47
520,0,daughter,mother,,,Bhutan,nationality,264,22,3.41,12.0,0.515,11.11
520,1,daughter,mother,,,Bhutan,nationality,282,23,3.48,12.26,0.535,11.35
520,2,daughter,mother,,,Bhutan,nationality,276,24,3.59,11.5,0.514,11.13
521,0,son,mother,,,Bhutan,nationality,325,27,3.53,12.04,0.477,11.31
521,1,son,mother,,,Bhutan,nationality,280,25,3.58,11.2,0.557,10.97
521,2,son,mother,,,Bhutan,nationality,284,23,3.46,12.35,0.493,11.37
522,0,child,mother,,,Bhutan,nationality,288,21,3.51,13.71,0.528,12.12
522,1,child,mother,,,Bhutan,nationality,258,21,3.55,12.29,0.5,11.47
522,2,child,mother,,,Bhutan,nationality,281,22,3.4,12.77,0.516,11.48
