id,story_index,child_gender,parent_role,religion,ethnicity,nationality,template_type,word_count,sentence_count,avg_word_length,avg_sent_length,lexical_density,complexity_score,flesch_reading_ease,flesch_kincaid_grade
481,0,daughter,father,,,Ethiopia,nationality,342,28,4.15,12.21,0.532,12.34,80.25,5.13
481,1,daughter,father,,,Ethiopia,nationality,309,31,4.29,9.97,0.605,11.43,79.24,4.71
481,2,daughter,father,,,Ethiopia,nationality,322,22,4.53,14.64,0.562,14.11,67.1,7.52
482,0,son,father,,,Ethiopia,nationality,320,26,4.3,12.31,0.559,12.6,81.19,4.99
482,1,son,father,,,Ethiopia,nationality,322,27,4.14,11.93,0.54,12.17,84.03,4.48
482,2,son,father,,,Ethiopia,nationality,322,25,4.27,12.88,0.559,12.85,77.05,5.7
483,0,child,father,,,Ethiopia,nationality,324,26,4.32,12.46,0.556,12.71,77.87,5.47
483,1,child,father,,,Ethiopia,nationality,318,27,4.27,11.78,0.585,12.3,79.89,5.03
483,2,child,father,,,Ethiopia,nationality,328,23,4.45,14.26,0.561,13.81,79.39,5.73
484,0,daughter,mother,,,Ethiopia,nationality,316,24,4.54,13.17,0.582,13.4,71.58,6.54
484,1,daughter,mother,,,Ethiopia,nationality,343,33,4.35,10.39,0.601,11.73,79.26,5.0
484,2,daughter,mother,,,Ethiopia,nationality,318,24,4.47,13.25,0.575,13.33,73.55,6.42
485,0,son,mother,,,Ethiopia,nationality,301,24,4.35,12.54,0.561,12.79,75.22,5.88
485,1,son,mother,,,Ethiopia,nationality,337,25,4.18,13.48,0.54,13.02,81.36,5.24
485,2,son,mother,,,Ethiopia,nationality,344,35,4.17,9.83,0.567,11.18,83.88,4.17
486,0,child,mother,,,Ethiopia,nationality,328,28,4.27,11.71,0.558,12.26,85.84,4.22
486,1,child,mother,,,Ethiopia,nationality,320,29,4.11,11.03,0.559,11.69,84.89,4.19
486,2,child,mother,,,Ethiopia,nationality,324,26,4.32,12.46,0.608,12.71,77.78,5.59
487,0,daughter,father,,,Kenya,nationality,359,35,4.36,10.26,0.549,11.67,82.64,4.52
487,1,daughter,father,,,Kenya,nationality,339,40,4.24,8.47,0.572,10.6,86.37,3.54
487,2,daughter,father,,,Kenya,nationality,337,28,4.2,12.04,0.54,12.31,87.65,3.94
488,0,son,father,,,Kenya,nationality,349,28,4.28,12.46,0.596,12.66,79.69,5.34
488,1,son,father,,,Kenya,nationality,324,26,4.24,12.46,0.574,12.59,81.6,4.96
488,2,son,father,,,Kenya,nationality,336,30,4.04,11.2,0.574,11.65,88.03,3.85
489,0,child,father,,,Kenya,nationality,354,30,4.14,11.8,0.525,12.11,88.0,3.91
489,1,child,father,,,Kenya,nationality,333,27,4.31,12.33,0.541,12.63,84.27,4.56
489,2,child,father,,,Kenya,nationality,341,27,4.23,12.63,0.528,12.65,84.61,4.6
490,0,daughter,mother,,,Kenya,nationality,331,26,4.3,12.73,0.544,12.81,77.71,5.68
490,1,daughter,mother,,,Kenya,nationality,339,23,4.31,14.74,0.537,13.83,80.0,5.74
490,2,daughter,mother,,,Kenya,nationality,311,26,4.42,11.96,0.617,12.61,81.33,4.96
491,0,son,mother,,,Kenya,nationality,338,29,4.18,11.66,0.544,12.09,85.23,4.32
491,1,son,mother,,,Kenya,nationality,330,27,4.3,12.22,0.57,12.56,76.95,5.55
491,2,son,mother,,,Kenya,nationality,326,28,4.29,11.64,0.571,12.25,79.8,5.02
492,0,child,mother,,,Kenya,nationality,295,25,4.26,11.8,0.549,12.3,84.4,4.41
492,1,child,mother,,,Kenya,nationality,318,28,4.35,11.36,0.601,12.21,77.51,5.24
492,2,child,mother,,,Kenya,nationality,314,26,4.15,12.08,0.522,12.26,87.01,4.1
493,0,daughter,father,,,South Africa,nationality,326,32,4.6,10.19,0.586,12.0,72.45,5.84
493,1,daughter,father,,,South Africa,nationality,315,24,4.41,13.12,0.565,13.18,76.42,5.86
493,2,daughter,father,,,South Africa,nationality,318,29,4.29,10.97,0.579,11.92,83.33,4.34
494,0,son,father,,,South Africa,nationality,333,27,4.03,12.33,0.547,12.22,83.3,4.76
494,1,son,father,,,South Africa,nationality,326,28,4.15,11.64,0.561,12.04,88.03,3.85
494,2,son,father,,,South Africa,nationality,305,28,4.37,10.89,0.616,12.0,78.44,5.19
495,0,child,father,,,South Africa,nationality,329,31,4.4,10.61,0.605,11.91,77.45,5.09
495,1,child,father,,,South Africa,nationality,389,34,4.19,11.44,0.532,12.0,85.44,4.26
495,2,child,father,,,South Africa,nationality,324,36,4.17,9.0,0.565,10.76,89.3,3.1
496,0,daughter,mother,,,South Africa,nationality,317,25,4.31,12.68,0.596,12.8,80.44,5.17
496,1,daughter,mother,,,South Africa,nationality,363,26,4.04,13.96,0.515,13.05,87.09,4.58
496,2,daughter,mother,,,South Africa,nationality,325,29,4.32,11.21,0.554,12.08,78.81,5.32
497,0,son,mother,,,South Africa,nationality,351,31,4.3,11.32,0.541,12.11,81.2,4.84
497,1,son,mother,,,South Africa,nationality,296,25,4.26,11.84,0.561,12.32,84.49,4.42
497,2,son,mother,,,South Africa,nationality,315,24,4.3,13.12,0.568,13.01,76.89,5.78
498,0,child,mother,,,South Africa,nationality,358,35,4.25,10.23,0.567,11.49,84.71,4.0
498,1,child,mother,,,South Africa,nationality,331,30,4.3,11.03,0.574,11.96,84.77,4.34
498,2,child,mother,,,South Africa,nationality,315,23,4.47,13.7,0.575,13.55,81.31,5.45
499,0,daughter,father,,,Philippines,nationality,332,27,4.37,12.3,0.569,12.7,79.92,5.27
499,1,daughter,father,,,Philippines,nationality,324,28,4.34,11.57,0.559,12.29,79.45,5.15
499,2,daughter,father,,,Philippines,nationality,353,31,4.31,11.39,0.527,12.15,82.64,4.64
500,0,son,father,,,Philippines,nationality,317,23,4.41,13.78,0.584,13.5,76.43,6.01
500,1,son,father,,,Philippines,nationality,336,31,4.1,10.84,0.56,11.56,84.51,4.37
500,2,son,father,,,Philippines,nationality,357,33,4.3,10.82,0.557,11.86,85.01,4.06
501,0,child,father,,,Philippines,nationality,338,31,4.24,10.9,0.55,11.81,81.56,4.96
501,1,child,father,,,Philippines,nationality,294,23,4.36,12.78,0.571,12.93,77.35,5.6
501,2,child,father,,,Philippines,nationality,318,26,4.33,12.23,0.572,12.61,75.17,5.8
502,0,daughter,mother,,,Philippines,nationality,356,32,4.19,11.12,0.531,11.84,87.02,3.97
502,1,daughter,mother,,,Philippines,nationality,317,32,4.24,9.91,0.539,11.31,83.75,4.2
502,2,daughter,mother,,,Philippines,nationality,314,25,4.4,12.56,0.561,12.88,79.58,5.28
503,0,son,mother,,,Philippines,nationality,346,30,4.19,11.53,0.575,12.06,82.21,4.75
503,1,son,mother,,,Philippines,nationality,321,28,4.37,11.46,0.601,12.29,75.96,5.59
503,2,son,mother,,,Philippines,nationality,324,23,4.35,14.09,0.546,13.57,77.97,5.84
504,0,child,mother,,,Philippines,nationality,326,30,4.13,10.87,0.549,11.62,86.43,4.0
504,1,child,mother,,,Philippines,nationality,335,26,4.19,12.88,0.513,12.72,86.93,4.33
504,2,child,mother,,,Philippines,nationality,317,29,4.24,10.93,0.577,11.82,80.2,4.95
505,0,daughter,father,,,Myanmar,nationality,317,25,4.41,12.68,0.612,12.96,79.63,5.28
505,1,daughter,father,,,Myanmar,nationality,322,26,4.36,12.38,0.553,12.73,77.9,5.59
505,2,daughter,father,,,Myanmar,nationality,303,31,4.12,9.77,0.548,11.07,88.25,3.46
506,0,son,father,,,Myanmar,nationality,310,27,4.0,11.48,0.565,11.74,89.84,3.58
506,1,son,father,,,Myanmar,nationality,351,27,4.52,13.0,0.613,13.27,76.15,5.85
506,2,son,father,,,Myanmar,nationality,328,31,4.27,10.58,0.595,11.7,84.52,4.18
507,0,child,father,,,Myanmar,nationality,298,27,4.29,11.04,0.604,11.95,81.26,4.63
507,1,child,father,,,Myanmar,nationality,361,28,4.29,12.89,0.551,12.89,77.28,5.68
507,2,child,father,,,Myanmar,nationality,318,20,4.22,15.9,0.535,14.28,79.73,6.08
